###########\n####  @#  #\n#### #    #\n####  $#  #\n# $.  .## #\n#   ###  $#\n#   ###  .#\n###########
ID: 21, State: D5DE6E39287DD6CA551554BF9DE2A892, Parent: 15, Action: r, Depth:6, Cost: 6.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 26, State: 98C57BACE79B0D18509B867526519038, Parent: 21, Action: U, Depth:7, Cost: 7.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 28, State: 47C7D2129BEAA954B5D7D78D9E77ECD4, Parent: 26, Action: U, Depth:8, Cost: 8.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 32, State: 6F7E7525D144F6B0E4D6B67337D7DDD9, Parent: 28, Action: d, Depth:9, Cost: 9.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 34, State: 22D4199A8A1A81E68816FA992FE13AEA, Parent: 32, Action: d, Depth:10, Cost: 10.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 37, State: C86A1B4FF0D411CDED80C41B98D34D6D, Parent: 34, Action: l, Depth:11, Cost: 11.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 43, State: F2563BDD69BED3BCD8D9BC945D6D72BD, Parent: 37, Action: l, Depth:12, Cost: 12.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 49, State: 6B38FEC4C5D7DA0175E6D7D68660F0F8, Parent: 43, Action: l, Depth:13, Cost: 13.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 53, State: 0A959066CCC8ECECB1EE8B2D64DD0BE6, Parent: 49, Action: d, Depth:14, Cost: 14.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 58, State: 7132DA9048912D9C1CBEDDF7B2BEBE3E, Parent: 53, Action: d, Depth:15, Cost: 15.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 65, State: F0EEC8144037475B6C941AA8DB471C47, Parent: 58, Action: L, Depth:16, Cost: 16.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
ID: 66, State: 024351633F18A7C18BAF8D88BC6AD8BA, Parent: 65, Action: u, Depth:17, Cost: 17.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
ID: 68, State: EDE1064EAB152AAEF960A0CAFC0613D4, Parent: 66, Action: u, Depth:18, Cost: 18.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
ID: 74, State: CD87A70C30C562A829DE5BF58BD14FE8, Parent: 68, Action: r, Depth:19, Cost: 19.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
ID: 82, State: 9CCD252C2FF36DDF4FB57B37BD1446F5, Parent: 74, Action: r, Depth:20, Cost: 20.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
